,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.08,0.46,3.82,11.50,7.83,4.94,3.65,0.87
DCC_joint,,0.08,,0.49,4.95,15.46,10.35,6.24,4.49,1.11
DCC_bivariate_loop,,0.46,0.49,,4.23,14.24,9.40,5.54,3.89,1.48
SW_cross_validated,,3.82,4.95,4.23,,11.25,5.78,1.77,0.18,4.99
SW_15,,11.50,15.46,14.24,11.25,,5.42,8.35,9.28,12.92
SW_30,,7.83,10.35,9.40,5.78,5.42,,3.47,4.73,9.12
SW_60,,4.94,6.24,5.54,1.77,8.35,3.47,,1.38,6.08
SW_120,,3.65,4.49,3.89,0.18,9.28,4.73,1.38,,4.72
sFC,,0.87,1.11,1.48,4.99,12.92,9.12,6.08,4.72,
