,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.064,0.066,0.048,0.059,0.078,0.026,0.015,0.018,0.038,0.018,0.041,0.043
DCC_joint,0.019,0.022,0.017,0.022,0.012,0.009,0.007,0.005,0.039,0.007,0.006,0.015
DCC_bivariate_loop,0.020,0.021,0.022,0.013,0.012,0.021,0.016,0.014,0.022,0.010,0.015,0.017
SW_cross_validated,0.039,0.051,0.039,0.067,0.076,0.055,0.030,0.015,0.034,0.032,0.036,0.043
SW_15,0.022,0.022,0.015,0.018,0.026,0.025,0.015,0.025,0.022,0.020,0.019,0.021
SW_30,0.024,0.025,0.017,0.029,0.026,0.029,0.022,0.022,0.024,0.019,0.029,0.024
SW_60,0.049,0.023,0.028,0.047,0.035,0.024,0.020,0.014,0.033,0.032,0.031,0.031
SW_120,0.055,0.035,0.027,0.043,0.023,0.016,0.017,0.016,0.034,0.032,0.034,0.030
sFC,0.033,0.043,0.010,0.014,0.006,0.010,0.013,0.005,0.011,0.025,0.009,0.016
