,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.020,0.021,0.015,0.019,0.025,0.008,0.005,0.006,0.012,0.006,0.013,0.014
DCC_joint,0.006,0.007,0.006,0.007,0.004,0.003,0.002,0.002,0.012,0.002,0.002,0.005
DCC_bivariate_loop,0.006,0.007,0.007,0.004,0.004,0.007,0.005,0.004,0.007,0.003,0.005,0.005
SW_cross_validated,0.012,0.016,0.012,0.021,0.024,0.017,0.009,0.005,0.011,0.010,0.011,0.014
SW_15,0.007,0.007,0.005,0.006,0.008,0.008,0.005,0.008,0.007,0.006,0.006,0.007
SW_30,0.008,0.008,0.005,0.009,0.008,0.009,0.007,0.007,0.008,0.006,0.009,0.008
SW_60,0.016,0.007,0.009,0.015,0.011,0.008,0.006,0.004,0.010,0.010,0.010,0.010
SW_120,0.017,0.011,0.009,0.014,0.007,0.005,0.005,0.005,0.011,0.010,0.011,0.010
sFC,0.010,0.014,0.003,0.004,0.002,0.003,0.004,0.002,0.003,0.008,0.003,0.005
