,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.027,0.374,0.165,0.380,0.273,0.372,0.016,0.176,0.566,0.261
DCC_bivariate_loop,,,0.018,0.015,0.023,0.042,0.037,0.108,0.014,0.237,0.085,0.064
SW_cross_validated,,,0.023,0.143,0.428,0.402,0.259,0.206,0.029,0.111,0.196,0.200
SW_15,,,0.015,0.025,0.028,0.035,0.021,0.082,0.020,0.130,0.099,0.051
SW_30,,,0.011,0.038,0.029,0.045,0.036,0.100,0.017,0.122,0.080,0.053
SW_60,,,0.021,0.054,0.065,0.062,0.069,0.085,0.022,0.120,0.119,0.068
SW_120,,,0.012,0.055,0.138,0.169,0.149,0.053,0.023,0.083,0.159,0.093
sFC,,,,,,0.000,,,,,,0.000
