,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.871,0.724,0.715,0.547,0.645,0.232,0.866,0.005,-0.201,0.489
DCC_bivariate_loop,,,0.939,0.907,0.849,0.805,0.806,0.627,0.932,0.124,0.779,0.752
SW_cross_validated,,,0.966,0.819,0.342,-0.008,0.198,0.090,0.907,-0.043,0.719,0.443
SW_15,,,0.904,0.904,0.894,0.868,0.878,0.691,0.904,0.321,0.626,0.777
SW_30,,,0.945,0.913,0.905,0.883,0.888,0.688,0.933,0.304,0.731,0.799
SW_60,,,0.958,0.917,0.867,0.801,0.653,0.644,0.934,0.090,0.754,0.735
SW_120,,,0.980,0.872,0.431,-0.352,-0.487,0.202,0.916,-0.102,0.754,0.357
sFC,,,,,,0.000,,,,,,0.000
