,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.062,0.125,0.129,0.194,0.239,0.358,0.364,0.209,0.202,0.153,0.108,0.195
DCC_joint,0.030,0.045,0.270,0.327,0.335,0.346,0.341,0.193,0.300,0.107,0.153,0.222
DCC_bivariate_loop,0.037,0.047,0.135,0.163,0.193,0.216,0.222,0.157,0.168,0.108,0.103,0.141
SW_cross_validated,0.121,0.139,0.121,0.231,0.312,0.366,0.359,0.219,0.202,0.163,0.122,0.214
SW_15,0.155,0.183,0.163,0.161,0.167,0.184,0.183,0.168,0.183,0.167,0.174,0.172
SW_30,0.134,0.147,0.130,0.158,0.157,0.174,0.170,0.158,0.158,0.147,0.147,0.153
SW_60,0.140,0.124,0.115,0.162,0.185,0.239,0.280,0.159,0.162,0.163,0.139,0.170
SW_120,0.139,0.140,0.097,0.218,0.331,0.417,0.436,0.208,0.191,0.158,0.114,0.223
sFC,0.053,0.047,0.361,0.367,0.358,0.360,0.362,0.199,0.418,0.126,0.157,0.255
