,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.058,0.121,0.136,0.185,0.232,0.357,0.361,0.206,0.184,0.153,0.107,0.191
DCC_joint,0.039,0.200,0.248,0.320,0.330,0.346,0.339,0.211,0.277,0.146,0.181,0.240
DCC_bivariate_loop,0.048,0.200,0.219,0.223,0.238,0.252,0.265,0.196,0.259,0.149,0.148,0.200
SW_cross_validated,0.130,0.116,0.151,0.235,0.313,0.368,0.359,0.232,0.183,0.168,0.117,0.216
SW_15,0.276,0.301,0.311,0.295,0.284,0.281,0.290,0.282,0.327,0.285,0.277,0.292
SW_30,0.192,0.227,0.234,0.228,0.212,0.203,0.204,0.216,0.246,0.211,0.195,0.215
SW_60,0.162,0.160,0.167,0.188,0.197,0.239,0.285,0.178,0.186,0.179,0.160,0.191
SW_120,0.153,0.133,0.126,0.225,0.334,0.426,0.440,0.222,0.182,0.167,0.124,0.230
sFC,0.053,0.048,0.361,0.367,0.358,0.360,0.362,0.199,0.418,0.126,0.157,0.255
