,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.009,0.118,0.052,0.120,0.086,0.118,0.005,0.056,0.179,0.083
DCC_bivariate_loop,,,0.006,0.005,0.007,0.013,0.012,0.034,0.004,0.075,0.027,0.020
SW_cross_validated,,,0.007,0.045,0.135,0.127,0.082,0.065,0.009,0.035,0.062,0.063
SW_15,,,0.005,0.008,0.009,0.011,0.007,0.026,0.006,0.041,0.031,0.016
SW_30,,,0.004,0.012,0.009,0.014,0.012,0.032,0.005,0.038,0.025,0.017
SW_60,,,0.007,0.017,0.021,0.020,0.022,0.027,0.007,0.038,0.038,0.022
SW_120,,,0.004,0.017,0.044,0.053,0.047,0.017,0.007,0.026,0.050,0.030
sFC,,,,,,0.000,,,,,,0.000
