,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.100,0.111,0.116,0.119,0.112,0.121,0.120,0.110,0.119,0.116,0.109,0.114
DCC_joint,0.092,0.090,0.103,0.106,0.101,0.104,0.103,0.094,0.106,0.094,0.092,0.099
DCC_bivariate_loop,0.095,0.093,0.097,0.098,0.094,0.098,0.098,0.096,0.098,0.097,0.093,0.096
SW_cross_validated,0.144,0.137,0.144,0.147,0.150,0.154,0.143,0.140,0.139,0.146,0.136,0.144
SW_15,0.221,0.221,0.221,0.219,0.219,0.220,0.221,0.220,0.220,0.220,0.219,0.220
SW_30,0.183,0.184,0.183,0.182,0.182,0.183,0.183,0.184,0.184,0.184,0.182,0.183
SW_60,0.160,0.161,0.159,0.158,0.159,0.165,0.163,0.158,0.163,0.163,0.161,0.161
SW_120,0.147,0.149,0.145,0.147,0.153,0.162,0.157,0.144,0.150,0.149,0.143,0.150
sFC,0.073,0.069,0.093,0.090,0.087,0.094,0.088,0.073,0.097,0.072,0.071,0.082
