,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.079,0.086,0.092,0.093,0.088,0.100,0.098,0.089,0.095,0.092,0.081,0.090
DCC_joint,0.051,0.054,0.067,0.070,0.071,0.072,0.073,0.057,0.074,0.052,0.054,0.063
DCC_bivariate_loop,0.062,0.064,0.067,0.064,0.066,0.069,0.073,0.065,0.071,0.063,0.059,0.066
SW_cross_validated,0.128,0.123,0.132,0.135,0.138,0.140,0.130,0.128,0.125,0.132,0.120,0.130
SW_15,0.262,0.260,0.262,0.259,0.258,0.258,0.260,0.260,0.260,0.259,0.258,0.260
SW_30,0.190,0.190,0.191,0.190,0.189,0.189,0.188,0.191,0.189,0.189,0.186,0.189
SW_60,0.154,0.155,0.156,0.155,0.154,0.159,0.157,0.154,0.157,0.158,0.154,0.156
SW_120,0.137,0.136,0.137,0.136,0.145,0.155,0.149,0.135,0.140,0.139,0.132,0.140
sFC,0.073,0.069,0.093,0.089,0.087,0.093,0.088,0.073,0.097,0.072,0.071,0.082
