,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.019,0.018,0.017,0.018,0.025,0.007,0.004,0.005,0.011,0.007,0.011,0.013
DCC_joint,0.008,0.011,0.007,0.009,0.005,0.004,0.003,0.003,0.015,0.011,0.008,0.008
DCC_bivariate_loop,0.008,0.011,0.010,0.007,0.007,0.006,0.007,0.004,0.012,0.011,0.009,0.008
SW_cross_validated,0.012,0.017,0.014,0.021,0.024,0.019,0.010,0.005,0.010,0.011,0.012,0.014
SW_15,0.007,0.008,0.010,0.008,0.009,0.007,0.005,0.008,0.009,0.007,0.008,0.008
SW_30,0.008,0.010,0.010,0.008,0.011,0.008,0.008,0.008,0.011,0.008,0.008,0.009
SW_60,0.013,0.010,0.009,0.016,0.012,0.010,0.008,0.008,0.013,0.011,0.010,0.011
SW_120,0.014,0.010,0.010,0.014,0.008,0.005,0.005,0.006,0.013,0.011,0.010,0.010
sFC,0.010,0.014,0.003,0.004,0.002,0.003,0.004,0.002,0.003,0.008,0.003,0.005
