,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.014,0.018,0.014,0.010,0.020,0.011,0.010,0.016,0.016,0.013,0.009,0.014
DCC_joint,0.006,0.005,0.003,0.004,0.003,0.003,0.003,0.006,0.003,0.006,0.006,0.004
DCC_bivariate_loop,0.007,0.005,0.006,0.006,0.004,0.004,0.004,0.005,0.005,0.008,0.005,0.005
SW_cross_validated,0.017,0.021,0.015,0.010,0.013,0.019,0.014,0.017,0.010,0.018,0.010,0.015
SW_15,0.006,0.004,0.003,0.004,0.004,0.003,0.004,0.004,0.003,0.004,0.003,0.004
SW_30,0.006,0.005,0.005,0.003,0.005,0.005,0.006,0.004,0.007,0.006,0.004,0.005
SW_60,0.007,0.005,0.007,0.006,0.008,0.006,0.004,0.004,0.007,0.007,0.007,0.006
SW_120,0.010,0.013,0.006,0.010,0.013,0.010,0.007,0.012,0.011,0.010,0.007,0.010
sFC,0.007,0.011,0.008,0.008,0.007,0.009,0.007,0.009,0.007,0.006,0.008,0.008
