,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.021,0.020,0.016,0.010,0.016,0.012,0.013,0.020,0.016,0.016,0.012,0.016
DCC_joint,0.007,0.006,0.005,0.004,0.005,0.006,0.003,0.002,0.004,0.004,0.006,0.005
DCC_bivariate_loop,0.007,0.006,0.005,0.004,0.005,0.006,0.004,0.003,0.005,0.005,0.006,0.005
SW_cross_validated,0.022,0.023,0.015,0.009,0.011,0.024,0.014,0.019,0.008,0.016,0.010,0.016
SW_15,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
SW_30,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.004,0.003
SW_60,0.005,0.005,0.005,0.005,0.006,0.006,0.003,0.004,0.005,0.006,0.008,0.005
SW_120,0.011,0.014,0.004,0.011,0.008,0.008,0.005,0.010,0.008,0.011,0.005,0.009
sFC,0.007,0.011,0.008,0.008,0.007,0.009,0.007,0.009,0.007,0.006,0.008,0.008
