,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,167,165,35,35,29,33,25,53,51,75,115
1,177,179,57,31,23,31,23,91,45,143,93
2,99,157,75,51,41,35,27,49,31,113,77
3,139,179,45,27,41,29,25,53,83,133,103
4,163,173,43,53,27,25,21,83,55,39,179
5,155,137,49,47,29,29,31,73,27,165,133
6,139,113,31,35,35,35,23,63,41,121,155
7,177,155,55,37,35,29,23,79,29,179,133
8,175,75,67,59,33,25,21,49,45,175,111
9,175,147,47,39,41,27,29,65,39,131,149
