,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.012,0.015,0.037,0.058,0.060,0.128,0.276,,0.092,0.099,0.063,0.084
DCC_joint,0.035,0.027,0.147,0.189,0.208,0.217,0.231,0.159,0.194,0.101,0.100,0.146
DCC_bivariate_loop,0.042,0.036,0.088,0.117,0.133,0.139,0.157,0.128,0.120,0.099,0.076,0.103
SW_cross_validated,0.065,0.054,0.099,0.127,0.138,0.146,0.170,0.138,0.125,0.122,0.082,0.115
SW_15,0.232,0.194,0.202,0.202,0.203,0.193,0.209,0.216,0.199,0.218,0.211,0.207
SW_30,0.159,0.137,0.133,0.145,0.144,0.146,0.168,0.160,0.142,0.162,0.145,0.149
SW_60,0.112,0.103,0.094,0.119,0.147,0.193,0.252,0.138,0.120,0.135,0.108,0.138
SW_120,0.084,0.080,0.098,0.181,0.289,0.366,0.389,0.188,0.130,0.130,0.093,0.184
sFC,0.033,0.025,0.326,0.328,0.328,0.326,0.327,0.180,0.377,0.099,0.142,0.226
