,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.013,0.023,0.073,0.093,0.110,0.267,0.583,,0.190,0.198,0.129,0.168
DCC_joint,0.040,0.014,0.175,0.235,0.280,0.314,0.360,0.267,0.236,0.188,0.143,0.205
DCC_bivariate_loop,0.049,0.017,0.178,0.223,0.263,0.286,0.327,0.260,0.245,0.187,0.144,0.198
SW_cross_validated,0.071,0.033,0.103,0.127,0.150,0.184,0.219,0.232,0.164,0.207,0.115,0.146
SW_15,0.287,0.108,0.187,0.166,0.177,0.182,0.217,0.251,0.185,0.244,0.212,0.201
SW_30,0.198,0.071,0.128,0.131,0.143,0.184,0.241,0.213,0.164,0.194,0.154,0.165
SW_60,0.132,0.052,0.103,0.151,0.245,0.367,0.502,0.224,0.175,0.203,0.121,0.207
SW_120,0.091,0.045,0.162,0.346,0.590,0.760,0.811,0.368,0.227,0.222,0.122,0.340
sFC,0.035,0.014,0.690,0.691,0.691,0.689,0.692,0.377,0.797,0.195,0.294,0.469
