,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.013,0.040,0.090,0.131,0.153,0.280,0.590,,0.232,0.200,0.144,0.187
DCC_joint,0.039,0.019,0.175,0.236,0.285,0.316,0.361,,0.238,0.189,0.146,0.201
DCC_bivariate_loop,0.049,0.022,0.178,0.223,0.267,0.287,0.327,,0.247,0.188,0.146,0.193
SW_cross_validated,0.063,0.155,0.148,0.171,0.204,0.242,0.281,,0.254,0.234,0.160,0.191
SW_15,0.255,0.295,0.306,0.273,0.290,0.309,0.330,,0.324,0.289,0.282,0.295
SW_30,0.181,0.204,0.201,0.193,0.210,0.246,0.288,,0.262,0.236,0.212,0.223
SW_60,0.118,0.153,0.132,0.166,0.251,0.371,0.507,,0.250,0.231,0.164,0.234
SW_120,0.081,0.140,0.132,0.337,0.594,0.764,0.814,,0.280,0.247,0.154,0.354
sFC,0.035,0.013,0.690,0.691,0.691,0.689,0.692,,0.797,0.195,0.294,0.479
