,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.013,0.006,0.010,0.022,0.019,0.095,0.090,,0.015,0.013,0.008,0.029
DCC_joint,0.013,0.011,0.014,0.017,0.014,0.013,0.012,,0.014,0.012,0.009,0.013
DCC_bivariate_loop,0.014,0.012,0.011,0.013,0.012,0.013,0.016,,0.011,0.013,0.007,0.012
SW_cross_validated,0.016,0.011,0.017,0.016,0.019,0.013,0.012,,0.016,0.023,0.013,0.016
SW_15,0.010,0.019,0.016,0.018,0.021,0.010,0.010,,0.012,0.017,0.016,0.015
SW_30,0.009,0.018,0.013,0.016,0.019,0.012,0.010,,0.008,0.018,0.013,0.014
SW_60,0.010,0.015,0.012,0.018,0.018,0.011,0.007,,0.010,0.018,0.016,0.014
SW_120,0.013,0.015,0.009,0.014,0.007,0.003,0.004,,0.017,0.014,0.018,0.012
sFC,0.011,0.011,0.002,0.003,0.002,0.001,0.002,,0.003,0.012,0.003,0.005
