,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.012,0.014,0.018,0.020,0.012,0.064,0.060,,0.015,0.013,0.011,0.024
DCC_joint,0.013,0.014,0.014,0.016,0.015,0.013,0.012,,0.014,0.013,0.010,0.013
DCC_bivariate_loop,0.014,0.016,0.011,0.012,0.017,0.014,0.015,,0.012,0.014,0.010,0.014
SW_cross_validated,0.008,0.009,0.027,0.020,0.028,0.022,0.019,,0.033,0.022,0.012,0.020
SW_15,0.013,0.014,0.019,0.016,0.025,0.020,0.020,,0.020,0.020,0.019,0.019
SW_30,0.010,0.016,0.016,0.012,0.021,0.019,0.012,,0.019,0.020,0.017,0.016
SW_60,0.008,0.015,0.010,0.014,0.014,0.012,0.006,,0.021,0.016,0.013,0.013
SW_120,0.009,0.015,0.007,0.011,0.008,0.006,0.005,,0.024,0.013,0.015,0.011
sFC,0.011,0.011,0.002,0.003,0.002,0.001,0.002,,0.003,0.012,0.003,0.005
