,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.009,0.022,0.019,0.022,0.202,0.195,,0.032,0.006,0.015,0.055
DCC_joint,0.032,0.010,0.025,0.024,0.020,0.032,0.026,,0.028,0.007,0.017,0.022
DCC_bivariate_loop,0.033,0.017,0.024,0.018,0.016,0.029,0.034,,0.028,0.008,0.013,0.022
SW_cross_validated,0.034,0.011,0.020,0.022,0.014,0.030,0.021,,0.018,0.011,0.012,0.019
SW_15,0.013,0.010,0.020,0.021,0.027,0.020,0.013,,0.023,0.023,0.020,0.019
SW_30,0.017,0.010,0.022,0.028,0.022,0.027,0.021,,0.018,0.022,0.020,0.020
SW_60,0.022,0.013,0.023,0.018,0.029,0.019,0.014,,0.010,0.019,0.016,0.018
SW_120,0.034,0.027,0.020,0.017,0.013,0.008,0.011,,0.010,0.012,0.020,0.017
sFC,0.031,0.008,0.003,0.003,0.003,0.001,0.003,,0.004,0.005,0.004,0.006
