,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.014,0.030,0.026,0.023,0.198,0.185,,0.027,0.006,0.017,0.055
DCC_joint,0.031,0.012,0.024,0.023,0.021,0.033,0.027,,0.028,0.006,0.022,0.023
DCC_bivariate_loop,0.033,0.018,0.023,0.017,0.021,0.029,0.033,,0.028,0.009,0.016,0.023
SW_cross_validated,0.034,0.018,0.045,0.023,0.032,0.037,0.030,,0.023,0.016,0.020,0.028
SW_15,0.016,0.025,0.033,0.024,0.035,0.039,0.032,,0.035,0.033,0.028,0.030
SW_30,0.017,0.027,0.032,0.024,0.032,0.034,0.025,,0.031,0.032,0.027,0.028
SW_60,0.023,0.020,0.032,0.019,0.028,0.017,0.013,,0.026,0.022,0.020,0.022
SW_120,0.028,0.021,0.032,0.019,0.012,0.008,0.011,,0.023,0.013,0.022,0.019
sFC,0.031,0.008,0.003,0.003,0.003,0.001,0.003,,0.005,0.005,0.004,0.006
