,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.034,0.044,0.053,0.063,0.068,0.149,0.201,0.113,0.079,0.065,0.049,0.083
DCC_joint,0.045,0.046,0.129,0.149,0.163,0.173,0.177,0.110,0.152,0.070,0.084,0.118
DCC_bivariate_loop,0.051,0.053,0.079,0.091,0.105,0.114,0.120,0.091,0.093,0.071,0.071,0.085
SW_cross_validated,0.088,0.078,0.101,0.121,0.142,0.157,0.177,0.132,0.110,0.099,0.079,0.117
SW_15,0.240,0.221,0.231,0.226,0.229,0.234,0.233,0.238,0.231,0.237,0.234,0.232
SW_30,0.168,0.155,0.163,0.157,0.160,0.168,0.171,0.166,0.165,0.165,0.164,0.164
SW_60,0.121,0.114,0.122,0.117,0.135,0.161,0.187,0.131,0.129,0.126,0.116,0.133
SW_120,0.100,0.093,0.108,0.140,0.196,0.243,0.254,0.142,0.113,0.109,0.099,0.145
sFC,0.052,0.044,0.206,0.206,0.206,0.206,0.204,0.116,0.236,0.072,0.094,0.149
