,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.017,0.051,0.102,0.133,0.154,0.404,0.565,0.310,0.197,0.165,0.127,0.202
DCC_joint,0.035,0.053,0.203,0.247,0.315,0.353,0.391,0.259,0.236,0.158,0.183,0.221
DCC_bivariate_loop,0.041,0.067,0.173,0.216,0.264,0.283,0.307,0.224,0.224,0.159,0.154,0.192
SW_cross_validated,0.102,0.070,0.136,0.181,0.189,0.265,0.321,0.211,0.183,0.174,0.118,0.177
SW_15,0.268,0.172,0.197,0.209,0.206,0.206,0.207,0.230,0.213,0.255,0.225,0.217
SW_30,0.192,0.130,0.153,0.162,0.158,0.182,0.189,0.179,0.175,0.194,0.162,0.171
SW_60,0.132,0.098,0.123,0.149,0.219,0.318,0.408,0.186,0.170,0.178,0.127,0.192
SW_120,0.107,0.086,0.148,0.301,0.495,0.635,0.665,0.311,0.190,0.183,0.124,0.295
sFC,0.030,0.031,0.571,0.571,0.569,0.569,0.568,0.309,0.655,0.161,0.245,0.389
