,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,-0.000,0.990,0.968,0.951,,,0.205,0.947,-0.041,,0.574
DCC_joint,,0.000,0.940,0.904,0.854,,,0.685,0.936,0.109,,0.633
DCC_bivariate_loop,,-0.000,0.959,0.931,0.893,,,0.715,0.947,0.269,,0.673
SW_cross_validated,,-0.000,0.984,0.953,0.930,0.895,0.826,0.743,0.947,-0.023,0.837,0.709
SW_15,,-0.000,0.915,0.891,0.904,0.902,0.896,0.787,0.915,0.402,0.620,0.723
SW_30,,0.000,0.957,0.938,0.935,0.932,0.922,0.838,0.943,0.385,0.762,0.761
SW_60,,-0.000,0.977,0.960,0.932,0.883,0.790,0.799,0.951,0.216,0.830,0.734
SW_120,,-0.000,0.986,0.922,0.568,-0.410,-0.610,0.218,0.945,-0.041,0.841,0.342
sFC,,,,,,,,,,,,
