,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,0.000,0.003,0.005,0.009,,,0.069,0.003,0.019,,0.015
DCC_joint,,0.000,0.006,0.008,0.012,,,0.013,0.004,0.060,,0.015
DCC_bivariate_loop,,0.000,0.003,0.006,0.009,,,0.010,0.004,0.072,,0.015
SW_cross_validated,,0.000,0.003,0.008,0.008,0.019,0.053,0.031,0.003,0.047,0.011,0.018
SW_15,,0.000,0.004,0.007,0.006,0.008,0.009,0.008,0.005,0.051,0.034,0.013
SW_30,,0.000,0.004,0.005,0.007,0.005,0.007,0.011,0.006,0.048,0.028,0.012
SW_60,,0.000,0.002,0.004,0.010,0.011,0.020,0.015,0.003,0.039,0.028,0.013
SW_120,,0.000,0.002,0.015,0.026,0.025,0.034,0.033,0.002,0.046,0.031,0.021
sFC,,,,,,,,,,,,
