,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.013,0.025,0.013,0.011,0.016,0.037,0.005,0.008,0.024,0.015,0.014,0.016
DCC_joint,0.007,0.015,0.008,0.013,0.008,0.008,0.005,0.005,0.010,0.011,0.007,0.009
DCC_bivariate_loop,0.008,0.014,0.008,0.016,0.011,0.008,0.008,0.006,0.012,0.013,0.007,0.010
SW_cross_validated,0.008,0.011,0.012,0.021,0.014,0.008,0.014,0.012,0.016,0.010,0.007,0.012
SW_15,0.007,0.012,0.007,0.015,0.012,0.011,0.015,0.006,0.009,0.007,0.010,0.010
SW_30,0.005,0.008,0.007,0.015,0.013,0.008,0.009,0.005,0.011,0.006,0.008,0.009
SW_60,0.004,0.010,0.008,0.009,0.013,0.007,0.010,0.006,0.015,0.007,0.012,0.009
SW_120,0.005,0.017,0.010,0.012,0.008,0.008,0.007,0.008,0.015,0.015,0.013,0.011
sFC,0.014,0.020,0.003,0.003,0.002,0.004,0.001,0.004,0.004,0.012,0.004,0.006
