,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.018,0.059,0.119,0.167,0.179,0.407,0.565,0.310,0.222,0.168,0.132,0.213
DCC_joint,0.032,0.026,0.209,0.254,0.322,0.361,0.398,0.262,0.237,0.157,0.182,0.222
DCC_bivariate_loop,0.038,0.043,0.171,0.215,0.258,0.278,0.305,0.224,0.215,0.157,0.149,0.187
SW_cross_validated,0.093,0.140,0.136,0.195,0.223,0.277,0.326,0.211,0.233,0.188,0.144,0.197
SW_15,0.205,0.269,0.239,0.287,0.253,0.254,0.260,0.220,0.271,0.251,0.246,0.250
SW_30,0.155,0.195,0.178,0.218,0.205,0.220,0.235,0.180,0.227,0.203,0.177,0.199
SW_60,0.115,0.148,0.143,0.177,0.243,0.328,0.415,0.190,0.213,0.189,0.143,0.209
SW_120,0.098,0.136,0.142,0.300,0.497,0.633,0.663,0.305,0.232,0.193,0.140,0.304
sFC,0.030,0.031,0.571,0.571,0.569,0.569,0.568,0.309,0.655,0.161,0.245,0.389
