,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.037,0.039,0.028,0.042,0.185,0.004,0.007,0.019,0.007,0.013,0.037
DCC_joint,0.019,0.028,0.028,0.021,0.044,0.037,0.031,0.015,0.022,0.009,0.022,0.025
DCC_bivariate_loop,0.034,0.022,0.017,0.015,0.030,0.027,0.027,0.018,0.019,0.012,0.022,0.022
SW_cross_validated,0.032,0.028,0.032,0.047,0.044,0.068,0.101,0.026,0.018,0.015,0.018,0.039
SW_15,0.033,0.025,0.012,0.019,0.021,0.029,0.020,0.031,0.018,0.014,0.020,0.022
SW_30,0.027,0.025,0.015,0.021,0.035,0.019,0.029,0.020,0.023,0.027,0.026,0.024
SW_60,0.023,0.029,0.015,0.015,0.036,0.026,0.019,0.016,0.013,0.016,0.027,0.022
SW_120,0.036,0.027,0.023,0.032,0.018,0.014,0.011,0.014,0.011,0.015,0.025,0.021
sFC,0.021,0.032,0.005,0.008,0.006,0.004,0.004,0.003,0.006,0.005,0.005,0.009
