,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.027,0.029,0.041,0.034,0.062,0.183,0.004,0.006,0.026,0.008,0.011,0.039
DCC_joint,0.017,0.016,0.029,0.025,0.045,0.036,0.027,0.016,0.023,0.005,0.023,0.024
DCC_bivariate_loop,0.031,0.017,0.020,0.024,0.032,0.028,0.028,0.015,0.023,0.010,0.023,0.023
SW_cross_validated,0.031,0.023,0.034,0.046,0.045,0.061,0.098,0.028,0.029,0.016,0.009,0.038
SW_15,0.029,0.032,0.022,0.042,0.027,0.035,0.037,0.023,0.032,0.018,0.023,0.029
SW_30,0.023,0.026,0.022,0.032,0.040,0.026,0.026,0.024,0.038,0.019,0.022,0.027
SW_60,0.022,0.019,0.023,0.024,0.036,0.024,0.016,0.021,0.027,0.016,0.026,0.023
SW_120,0.033,0.022,0.035,0.038,0.015,0.014,0.007,0.012,0.023,0.014,0.029,0.022
sFC,0.021,0.032,0.005,0.008,0.006,0.004,0.004,0.003,0.006,0.004,0.006,0.009
