,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.060,0.060,0.100,0.116,0.126,0.176,0.208,0.122,0.113,0.081,0.073,0.112
DCC_joint,0.060,0.051,0.132,0.153,0.165,0.174,0.179,0.116,0.151,0.079,0.089,0.123
DCC_bivariate_loop,0.064,0.057,0.087,0.101,0.109,0.117,0.123,0.098,0.097,0.080,0.076,0.092
SW_cross_validated,0.131,0.131,0.142,0.161,0.186,0.194,0.210,0.166,0.155,0.141,0.130,0.159
SW_15,0.264,0.268,0.265,0.274,0.266,0.271,0.269,0.267,0.270,0.268,0.266,0.268
SW_30,0.199,0.197,0.200,0.203,0.201,0.208,0.210,0.201,0.207,0.201,0.197,0.202
SW_60,0.154,0.150,0.158,0.156,0.171,0.188,0.211,0.164,0.167,0.158,0.153,0.166
SW_120,0.135,0.135,0.143,0.168,0.216,0.257,0.269,0.168,0.151,0.142,0.136,0.174
sFC,0.052,0.044,0.207,0.206,0.206,0.206,0.204,0.116,0.236,0.072,0.094,0.149
