,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,99,79,57,37,55,35,99,49,99,37,47
1,99,61,83,71,57,45,97,95,71,31,79
2,89,77,77,33,35,33,39,83,39,79,49
3,95,41,73,41,29,23,93,49,71,63,97
4,69,91,81,41,39,35,93,87,31,95,97
5,95,97,81,53,27,41,93,37,73,33,49
6,83,77,39,93,41,27,99,27,35,35,79
7,93,79,99,37,35,33,85,49,81,81,71
8,45,35,95,39,33,25,21,39,39,99,55
9,91,99,45,29,45,25,23,49,53,49,99
