,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,47,49,37,21,23,47,47
1,39,21,29,21,21,23,49
2,49,35,25,23,21,31,45
3,43,49,33,21,23,37,49
4,49,27,25,29,29,31,49
5,47,39,27,35,21,29,39
6,49,43,35,33,21,25,49
7,37,39,21,25,21,27,43
8,47,31,41,21,23,21,49
9,47,37,31,23,27,39,49
10,49,21,29,33,21,39,47
11,43,49,29,23,25,27,35
12,27,49,35,21,23,49,49
13,41,47,35,21,21,29,49
14,29,47,39,21,21,49,45
15,35,45,45,21,21,49,31
16,41,23,47,25,23,43,47
17,39,41,39,21,37,39,49
18,45,47,21,23,29,47,41
19,49,47,41,25,21,21,45
20,49,31,27,25,21,35,39
21,47,43,47,31,21,21,37
22,49,35,39,21,29,31,35
23,47,45,31,21,27,47,49
24,45,45,41,21,21,43,49
25,23,37,21,31,21,45,49
26,45,29,21,33,23,47,21
27,49,37,43,29,21,39,25
28,49,49,41,21,21,21,49
29,49,39,27,23,23,21,49
30,49,45,45,21,21,41,49
31,49,37,23,35,23,43,47
32,35,47,37,21,21,35,49
33,47,45,49,41,21,45,43
34,49,29,35,21,31,49,47
35,43,37,29,23,23,21,45
36,49,39,45,21,21,47,49
37,49,41,21,29,49,41,49
38,41,49,33,21,21,49,33
39,47,35,23,33,23,39,45
40,35,41,23,37,21,33,49
41,37,45,33,29,27,43,49
42,47,41,27,35,21,49,43
43,49,25,33,27,21,31,49
44,49,45,43,21,23,49,45
45,47,49,25,27,21,43,41
46,49,39,45,27,21,49,45
47,47,47,39,21,21,21,31
48,49,35,47,21,21,49,49
49,47,33,37,27,23,39,43
50,31,43,49,37,21,41,43
51,37,43,45,27,27,41,43
52,43,45,35,31,31,41,49
53,45,45,21,29,21,21,35
54,45,45,29,21,21,39,47
55,49,43,29,25,45,49,49
56,45,49,21,27,25,39,47
57,23,37,29,25,21,21,33
58,41,47,47,29,23,23,45
59,37,31,43,35,21,21,43
60,37,37,39,45,25,45,43
61,33,45,39,25,21,23,49
62,37,35,35,25,23,41,39
63,37,49,35,21,21,45,39
64,25,31,43,33,21,35,41
65,49,47,21,23,21,23,45
66,47,49,29,21,21,43,41
67,41,45,23,25,23,21,49
68,39,31,43,33,21,35,31
69,43,49,23,33,21,49,45
70,49,43,29,21,27,43,43
71,47,45,37,21,25,43,39
72,43,33,49,23,23,21,29
73,43,49,21,21,21,39,47
74,47,49,29,33,21,25,45
75,45,45,35,31,23,29,49
76,31,23,31,25,21,37,45
77,43,49,45,21,25,47,35
78,25,23,43,31,21,21,29
79,49,47,43,29,21,49,49
80,45,21,39,21,21,25,49
81,49,45,27,33,21,37,41
82,49,31,45,39,21,49,41
83,49,47,25,23,21,45,47
84,49,47,27,37,21,41,49
85,27,47,49,33,49,29,47
86,39,49,33,21,27,41,43
87,49,49,21,29,25,23,49
88,43,35,35,21,23,35,43
89,49,49,23,21,23,39,49
90,49,49,21,33,27,41,35
91,49,49,33,25,31,49,49
92,47,45,47,25,23,49,49
93,37,29,39,25,21,45,49
94,49,47,37,29,21,47,41
95,41,23,39,21,21,21,21
96,49,41,29,25,21,31,49
97,49,33,31,39,29,29,49
98,47,45,37,31,23,47,43
99,49,49,37,25,21,27,45
100,49,41,25,21,25,47,25
101,45,47,29,29,23,43,47
102,39,29,45,27,23,31,45
103,47,49,27,25,25,47,49
104,47,35,45,25,27,37,47
105,45,49,25,23,27,25,45
106,41,21,25,21,39,27,45
107,49,21,41,29,21,41,45
108,45,45,21,23,21,23,43
109,49,21,27,21,25,43,41
110,49,49,31,25,27,23,47
111,47,37,49,25,25,27,47
112,43,49,33,25,21,49,47
113,39,47,39,27,21,37,39
114,49,45,49,21,27,37,35
115,27,35,47,21,23,49,35
116,23,21,29,21,21,31,49
117,49,45,29,21,21,31,47
118,49,41,29,21,23,45,43
119,37,43,39,23,27,47,49
120,47,45,23,27,25,37,45
121,33,49,39,31,21,41,43
122,41,39,45,27,21,37,43
123,49,49,29,25,21,33,43
124,25,25,45,25,21,37,23
125,47,47,29,29,27,47,49
126,33,47,37,31,21,23,29
127,49,45,25,25,21,31,45
128,47,33,41,27,23,31,45
129,37,43,33,21,49,39,49
130,47,47,23,21,21,47,45
131,45,49,49,27,21,41,45
132,35,21,23,21,21,23,37
133,31,49,45,25,39,41,45
134,23,41,37,25,21,47,45
135,49,49,39,21,21,49,49
136,41,37,23,41,25,21,33
137,49,49,39,29,21,43,37
138,49,37,41,25,21,43,49
139,49,33,47,31,21,37,21
140,43,47,23,23,21,21,31
141,41,49,37,27,21,43,49
142,35,45,45,23,21,49,45
143,39,49,29,31,21,33,35
144,47,31,37,27,21,21,27
145,41,41,31,29,21,49,49
146,49,47,47,21,21,47,49
147,45,49,35,31,23,39,29
148,47,49,41,21,27,47,47
149,33,43,31,47,21,23,49
150,43,39,23,25,21,21,47
151,35,31,41,21,23,49,49
152,45,49,21,23,25,21,37
153,41,45,37,31,21,25,49
154,45,43,21,21,21,35,25
155,49,25,35,29,21,33,23
156,47,49,43,21,49,49,39
157,45,47,35,25,21,25,47
158,47,37,35,31,21,41,43
159,35,31,35,25,21,21,39
160,25,37,25,21,23,49,43
161,43,29,45,27,27,39,31
162,47,45,33,23,23,29,49
163,43,37,25,27,21,49,43
164,49,45,41,21,21,31,29
165,49,35,35,27,21,31,45
166,47,23,39,39,33,21,49
167,43,49,43,35,25,41,47
168,31,39,47,49,21,41,45
169,39,47,35,29,27,37,25
170,35,33,21,27,37,37,27
171,37,47,27,21,23,31,29
172,27,43,29,21,45,39,27
173,47,49,23,41,21,49,35
174,43,49,37,23,27,47,29
175,47,49,23,45,31,37,49
176,49,43,21,21,21,47,43
177,49,35,33,23,21,33,35
178,39,35,23,23,29,25,39
179,35,49,45,31,23,47,47
180,23,47,21,25,29,39,49
181,43,49,35,33,21,49,39
182,37,43,27,35,21,43,33
183,39,49,41,21,23,45,47
184,45,49,45,23,21,27,47
185,43,21,39,23,37,41,25
186,37,49,43,27,25,45,49
187,27,25,49,21,21,47,27
188,35,29,21,25,27,23,39
189,45,49,41,31,23,21,49
190,49,35,41,23,21,49,49
191,49,37,35,29,49,49,47
192,49,49,25,21,25,29,43
193,39,49,37,21,21,41,49
194,49,45,41,27,21,49,49
195,49,45,39,23,21,21,37
196,47,43,43,23,27,49,39
197,25,39,25,23,21,31,45
198,47,45,27,23,23,45,25
199,45,45,47,21,23,49,45
