,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,99,99,97,95,99,97,99,99,99,95,99
1,99,97,93,99,99,99,99,99,99,97,99
2,99,99,99,95,95,99,99,99,87,99,99
3,99,99,93,99,99,99,99,99,99,91,83
4,99,91,99,93,97,99,99,99,99,99,99
5,99,99,99,97,97,99,99,99,99,99,99
6,99,99,97,99,99,99,99,99,77,99,99
7,99,99,97,99,99,99,99,95,99,99,97
8,99,99,99,99,99,99,99,99,97,99,97
9,97,97,99,93,99,99,99,99,99,99,99
