,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,0.07,0.13,0.89,0.78,0.94,2.10,1.94,1.99
DCC_joint,,0.07,,0.14,1.88,1.77,2.14,5.35,4.48,5.50
DCC_bivariate_loop,,0.13,0.14,,2.00,1.91,2.28,5.18,4.32,5.31
SW_cross_validated,,0.89,1.88,2.00,,0.23,0.05,6.50,5.77,6.59
SW_15,,0.78,1.77,1.91,0.23,,0.31,6.98,6.07,7.18
SW_30,,0.94,2.14,2.28,0.05,0.31,,7.61,6.60,7.90
SW_60,,2.10,5.35,5.18,6.50,6.98,7.61,,0.39,0.68
SW_120,,1.94,4.48,4.32,5.77,6.07,6.60,0.39,,0.04
sFC,,1.99,5.50,5.31,6.59,7.18,7.90,0.68,0.04,
