,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,3.90,4.32,0.17,1.67,0.20,0.86,3.07,25.71
DCC_joint,,3.90,,0.57,4.18,2.26,4.26,3.91,1.25,24.53
DCC_bivariate_loop,,4.32,0.57,,4.63,2.74,4.71,4.39,1.82,22.36
SW_cross_validated,,0.17,4.18,4.63,,1.68,0.02,0.77,3.30,31.20
SW_15,,1.67,2.26,2.74,1.68,,1.69,1.14,1.26,25.35
SW_30,,0.20,4.26,4.71,0.02,1.69,,0.77,3.37,32.76
SW_60,,0.86,3.91,4.39,0.77,1.14,0.77,,2.92,38.64
SW_120,,3.07,1.25,1.82,3.30,1.26,3.37,2.92,,31.18
sFC,,25.71,24.53,22.36,31.20,25.35,32.76,38.64,31.18,
