,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,1.4819e-01,7.4159e-09,3.0179e-04,6.0628e-07,7.8324e-04,1.4256e-05,1.2010e-14,7.6546e-23
SVWP,1.4819e-01,,2.0194e-08,4.1855e-03,3.0700e-06,7.8323e-03,9.9599e-05,5.8221e-15,5.4371e-24
DCC_joint,7.4159e-09,2.0194e-08,,2.1146e-06,2.9171e-03,2.5895e-05,9.5874e-04,7.8740e-07,1.3626e-18
SW_cross_validated,3.0179e-04,4.1855e-03,2.1146e-06,,1.8731e-03,7.1414e-01,3.1867e-02,1.6673e-13,3.5431e-23
SW_15,6.0628e-07,3.0700e-06,2.9171e-03,1.8731e-03,,1.5330e-02,4.0700e-01,1.0649e-10,4.3114e-21
SW_30,7.8324e-04,7.8323e-03,2.5895e-05,7.1414e-01,1.5330e-02,,1.1009e-01,2.0128e-11,2.7089e-20
SW_60,1.4256e-05,9.9599e-05,9.5874e-04,3.1867e-02,4.0700e-01,1.1009e-01,,2.6072e-10,7.0789e-20
SW_120,1.2010e-14,5.8221e-15,7.8740e-07,1.6673e-13,1.0649e-10,2.0128e-11,2.6072e-10,,2.2246e-21
sFC,7.6546e-23,5.4371e-24,1.3626e-18,3.5431e-23,4.3114e-21,2.7089e-20,7.0789e-20,2.2246e-21,
