,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
175,95,63,45,31,21,25,21,89
176,71,99,27,29,21,39,21,69
177,63,85,31,37,21,41,95,27
178,23,57,39,27,21,41,21,51
179,97,97,23,33,21,23,21,49
180,61,95,27,21,21,41,33,73
181,49,45,45,27,21,23,23,53
182,99,83,31,25,21,29,23,39
183,91,55,23,21,31,23,23,43
184,79,47,23,21,23,33,35,77
185,69,89,31,21,21,21,21,95
186,97,63,21,21,29,25,27,91
187,99,73,39,27,25,45,23,89
188,75,45,47,35,21,37,21,61
189,65,75,45,23,21,35,21,35
190,55,85,27,23,21,27,21,75
191,95,83,25,25,21,33,23,89
192,99,49,25,27,21,25,69,29
193,55,73,25,25,25,21,21,35
194,85,79,33,25,21,35,21,97
195,61,81,43,29,21,25,23,97
196,97,83,25,35,21,43,21,45
197,37,55,37,21,25,37,31,31
198,25,65,33,29,23,25,33,97
199,37,91,29,27,21,21,21,73
