,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,93,83,85,59,41,39,99
1,69,73,79,39,33,77,81
2,59,97,59,47,31,29,67
3,73,99,37,39,35,79,53
4,99,89,37,51,43,99,99
5,95,97,63,35,31,65,99
6,71,95,75,45,27,33,85
7,57,99,33,31,31,55,77
8,95,99,99,51,71,35,77
9,83,91,77,35,41,51,99
10,47,93,83,45,23,67,97
11,65,85,53,27,29,53,85
12,75,75,67,35,33,99,95
13,83,61,63,33,35,85,89
14,99,93,87,37,31,65,69
15,95,73,79,35,31,61,61
16,91,47,71,31,35,39,87
17,97,83,95,59,29,67,85
18,41,93,57,41,45,53,65
19,77,77,35,39,31,91,93
20,99,39,55,37,31,93,95
21,97,83,53,57,43,23,83
22,97,61,55,59,35,71,99
23,73,81,61,43,39,35,89
24,83,89,71,41,41,55,47
25,81,99,53,37,35,41,91
26,87,93,51,33,23,65,49
27,99,99,91,47,37,83,45
28,99,95,43,47,43,99,33
29,85,97,49,59,47,75,81
30,97,87,79,37,35,49,81
31,93,73,67,45,39,47,89
32,73,51,43,25,25,71,99
33,99,67,37,27,27,37,89
34,99,85,63,45,25,53,41
35,87,61,67,39,33,99,97
36,99,35,57,51,25,69,75
37,99,97,37,45,49,83,67
38,91,67,27,25,21,37,95
39,63,37,55,45,33,73,85
40,93,99,59,61,43,37,71
41,69,97,59,51,21,55,51
42,95,97,49,49,37,87,97
43,73,99,77,51,35,57,89
44,93,97,85,31,39,39,65
45,93,71,97,37,33,85,99
46,49,73,39,35,31,89,95
47,99,93,55,37,25,41,51
48,31,51,27,37,33,97,99
49,61,85,51,35,29,97,85
50,49,87,53,37,39,41,85
51,35,93,55,35,43,91,75
52,91,91,47,41,33,85,97
53,61,99,55,41,41,69,99
54,97,89,45,27,29,31,83
55,73,31,47,43,69,53,91
56,99,99,59,33,25,43,89
57,45,69,75,65,41,99,95
58,31,97,33,35,23,41,89
59,99,91,71,61,25,63,67
60,73,97,47,37,21,39,37
61,55,51,85,47,53,59,77
62,75,95,67,51,37,33,55
63,95,55,41,63,31,79,87
64,47,75,45,29,21,85,89
65,51,65,71,27,39,47,95
66,99,83,57,47,29,43,71
67,85,71,41,37,27,51,99
68,83,59,63,23,31,55,93
69,93,47,67,59,33,77,41
70,85,65,69,35,25,31,99
71,49,45,89,31,35,99,67
72,91,75,35,33,49,51,85
73,99,47,51,35,29,43,97
74,95,97,83,29,47,61,99
75,91,99,49,31,35,65,99
76,87,99,65,49,37,79,97
77,85,99,59,33,27,53,71
78,87,45,71,43,27,37,45
79,99,77,71,27,39,99,95
80,89,39,27,33,33,71,75
81,99,35,53,49,27,89,99
82,87,79,87,57,43,67,69
83,93,75,33,29,45,49,99
84,99,79,73,41,33,57,95
85,89,71,61,27,33,99,93
86,99,67,67,61,33,85,97
87,99,91,41,49,39,39,99
88,43,99,45,39,27,77,57
89,99,99,53,51,37,55,97
90,41,97,43,41,25,91,67
91,57,97,85,35,29,87,77
92,69,97,29,35,45,61,91
93,99,71,59,57,27,59,51
94,89,55,51,43,43,59,55
95,77,41,81,29,33,47,41
96,99,75,67,43,37,55,71
97,93,99,69,55,33,35,97
98,59,85,73,33,47,49,85
99,93,97,81,45,35,57,47
100,99,47,91,51,49,51,73
101,55,45,75,49,27,83,71
102,77,99,91,37,35,47,89
103,95,55,27,49,23,89,31
104,81,99,71,41,25,67,99
105,61,89,53,33,31,99,81
106,95,67,65,53,33,31,97
107,97,85,73,27,23,85,85
108,97,53,47,39,25,31,29
109,93,87,23,29,35,93,93
110,55,97,41,39,35,79,99
111,95,97,63,47,47,99,99
112,87,93,39,45,45,43,91
113,79,95,67,61,31,37,97
114,99,99,99,45,39,89,85
115,55,89,37,29,29,79,99
116,49,37,29,63,31,83,85
117,97,95,51,47,35,57,71
118,53,65,55,33,39,35,97
119,99,69,89,31,31,93,93
120,57,97,65,33,31,83,83
121,99,85,61,45,29,99,99
122,83,71,59,27,37,97,99
123,99,65,49,41,37,63,87
124,99,55,27,29,31,41,79
125,79,81,83,39,25,67,93
126,93,99,65,27,33,71,99
127,89,85,35,47,29,71,73
128,89,99,49,33,31,37,95
129,83,99,55,37,45,77,73
130,93,93,51,39,37,99,33
131,91,93,47,27,29,97,99
132,77,95,49,35,29,57,99
133,49,99,87,39,29,35,53
134,63,95,33,37,27,69,85
135,79,65,89,37,45,37,97
136,59,87,53,81,35,99,55
137,97,55,95,33,47,63,85
138,79,73,57,25,35,45,53
139,81,83,37,33,37,53,97
140,87,65,35,43,43,81,99
141,67,93,47,43,31,43,39
142,73,99,71,35,43,97,79
143,97,61,69,39,31,37,93
144,77,89,35,41,27,41,83
145,99,99,85,49,43,95,89
146,73,99,99,29,37,93,93
147,85,65,45,63,39,79,73
148,81,97,75,37,29,67,97
149,99,57,41,37,21,73,79
150,99,79,71,39,29,91,79
151,75,55,53,33,45,51,75
152,91,93,45,49,35,47,97
153,77,97,65,37,41,67,99
154,95,83,77,43,27,71,31
155,87,83,51,49,25,99,97
156,95,87,63,51,37,55,95
157,97,65,73,31,27,85,55
158,93,67,75,43,31,81,39
159,53,85,71,55,29,59,93
160,71,45,73,43,35,99,87
161,71,65,63,55,39,77,51
162,95,89,85,35,41,67,61
163,99,99,51,33,21,69,91
164,47,59,67,59,25,49,69
165,49,71,75,35,21,61,63
166,39,99,45,33,39,23,87
167,79,93,95,53,45,39,97
168,91,81,55,41,39,81,87
169,99,85,69,51,33,35,97
170,45,99,55,35,41,89,91
171,91,79,43,29,37,73,61
172,55,85,93,47,23,29,99
173,95,77,55,67,33,95,97
174,77,73,67,37,29,67,41
175,93,87,53,27,31,99,63
176,83,69,75,33,41,47,65
177,55,97,39,49,23,67,39
178,91,95,27,29,43,87,67
179,99,77,59,43,31,43,95
180,49,99,73,33,29,87,69
181,93,91,53,29,43,61,63
182,99,93,93,63,33,83,77
183,85,99,45,55,29,39,57
184,99,99,71,35,35,41,91
185,99,99,59,43,33,83,99
186,73,99,47,39,49,97,97
187,99,37,75,33,33,97,63
188,49,87,45,51,37,95,41
189,81,97,83,37,39,31,85
190,45,95,67,37,29,39,97
191,83,39,43,29,37,87,93
192,85,63,41,37,29,53,97
193,85,99,65,31,33,37,95
194,67,77,59,55,39,69,79
195,95,87,79,45,25,53,95
196,93,65,45,35,53,41,99
197,69,99,29,39,25,45,57
198,81,69,37,53,43,25,63
199,97,75,69,45,29,83,99
