,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.058,0.043,0.226,0.302,0.349,,,0.273,0.268,0.167,,0.211
DCC_bivariate_loop,0.068,0.052,0.216,0.278,0.314,,,0.261,0.262,0.172,,0.203
SW_cross_validated,0.111,0.163,0.176,0.234,0.291,,,0.288,0.270,0.205,,0.217
SW_15,0.209,0.268,0.255,0.259,0.259,,,0.246,0.291,0.245,,0.254
SW_30,0.159,0.200,0.186,0.209,0.259,,,0.228,0.247,0.217,,0.213
SW_60,0.122,0.160,0.163,0.308,0.499,,,0.310,0.256,0.216,,0.254
SW_120,0.107,0.159,0.281,0.602,0.623,,,0.307,0.315,0.214,,0.326
sFC,0.060,0.041,0.573,0.572,0.571,,,0.307,0.656,0.171,,0.369
