,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.024,0.029,0.030,0.030,0.033,,,0.023,0.030,0.019,,0.027
DCC_joint,0.019,0.020,0.019,0.017,0.017,,,0.011,0.018,0.014,,0.017
DCC_bivariate_loop,0.020,0.020,0.022,0.021,0.020,,,0.015,0.019,0.015,,0.019
SW_cross_validated,0.018,0.021,0.026,0.023,0.021,,,0.019,0.023,0.020,,0.021
SW_15,0.015,0.020,0.019,0.020,0.019,,,0.016,0.022,0.015,,0.018
SW_30,0.015,0.019,0.019,0.019,0.018,,,0.015,0.022,0.015,,0.018
SW_60,0.014,0.020,0.019,0.017,0.012,,,0.014,0.020,0.016,,0.016
SW_120,0.022,0.026,0.030,0.013,0.016,,,0.031,0.024,0.024,,0.023
sFC,0.023,0.022,0.007,0.006,0.006,,,0.010,0.006,0.014,,0.012
