,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.036,0.048,0.083,0.102,0.111,,,0.151,0.114,0.092,,0.092
DCC_joint,0.058,0.058,0.168,0.199,0.214,,,0.149,0.196,0.095,,0.142
DCC_bivariate_loop,0.067,0.063,0.119,0.144,0.159,,,0.138,0.140,0.099,,0.116
SW_cross_validated,0.106,0.096,0.136,0.161,0.183,,,0.176,0.144,0.127,,0.141
SW_15,0.227,0.202,0.211,0.213,0.210,,,0.223,0.214,0.223,,0.215
SW_30,0.159,0.143,0.153,0.158,0.170,,,0.171,0.160,0.166,,0.160
SW_60,0.120,0.108,0.129,0.175,0.254,,,0.183,0.141,0.140,,0.156
SW_120,0.107,0.095,0.170,0.295,0.308,,,0.175,0.149,0.130,,0.179
sFC,0.058,0.051,0.276,0.275,0.274,,,0.154,0.314,0.094,,0.187
