,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,0.000,0.002,0.002,0.008,0.010,0.001,0.005,0.004
SVWP,,0.000,0.002,0.002,0.010,0.009,0.001,0.005,0.004
DCC_joint,,0.000,0.002,0.003,0.004,0.014,0.001,0.014,0.005
DCC_bivariate_loop,,0.000,0.002,0.003,0.003,0.010,0.002,0.014,0.005
SW_cross_validated,,0.000,0.002,0.003,0.013,0.024,0.001,0.010,0.008
SW_15,,0.000,0.002,0.002,0.002,0.006,0.002,0.011,0.004
SW_30,,0.000,0.002,0.002,0.003,0.007,0.002,0.011,0.004
SW_60,,0.000,0.001,0.003,0.007,0.007,0.001,0.010,0.004
SW_120,,0.000,0.001,0.011,0.012,0.006,0.001,0.008,0.005
sFC,,,,,,,,,
