,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.062,0.060,0.223,0.297,0.343,,,0.273,0.268,0.170,,0.212
DCC_bivariate_loop,0.072,0.068,0.219,0.280,0.316,,,0.264,0.269,0.175,,0.208
SW_cross_validated,0.126,0.089,0.181,0.226,0.277,,,0.293,0.213,0.194,,0.200
SW_15,0.276,0.171,0.212,0.211,0.215,,,0.258,0.221,0.255,,0.228
SW_30,0.194,0.129,0.160,0.179,0.230,,,0.228,0.193,0.217,,0.191
SW_60,0.143,0.098,0.170,0.304,0.495,,,0.321,0.209,0.208,,0.243
SW_120,0.123,0.080,0.301,0.598,0.624,,,0.316,0.251,0.200,,0.312
sFC,0.060,0.041,0.573,0.572,0.571,,,0.307,0.656,0.171,,0.369
