,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,0.000,0.027,0.028,0.118,0.145,0.015,0.070,0.058
SVWP,,0.000,0.025,0.035,0.143,0.133,0.016,0.070,0.060
DCC_joint,,0.000,0.029,0.041,0.052,0.193,0.021,0.195,0.076
DCC_bivariate_loop,,0.000,0.027,0.036,0.044,0.138,0.021,0.193,0.066
SW_cross_validated,,0.000,0.032,0.041,0.187,0.333,0.014,0.138,0.106
SW_15,,0.000,0.031,0.031,0.034,0.085,0.029,0.156,0.052
SW_30,,0.000,0.024,0.026,0.041,0.098,0.024,0.162,0.054
SW_60,,0.000,0.016,0.037,0.103,0.103,0.020,0.138,0.059
SW_120,,0.000,0.009,0.153,0.167,0.080,0.014,0.117,0.077
sFC,,,,,,,,,
