,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.021,0.023,0.019,0.016,0.017,,,0.011,0.019,0.014,,0.018
DCC_bivariate_loop,0.024,0.023,0.022,0.021,0.021,,,0.016,0.019,0.015,,0.020
SW_cross_validated,0.023,0.025,0.023,0.023,0.025,,,0.019,0.019,0.020,,0.022
SW_15,0.018,0.020,0.021,0.021,0.021,,,0.018,0.021,0.018,,0.020
SW_30,0.019,0.021,0.022,0.021,0.021,,,0.019,0.021,0.018,,0.020
SW_60,0.019,0.021,0.022,0.019,0.013,,,0.015,0.020,0.018,,0.018
SW_120,0.029,0.030,0.023,0.013,0.013,,,0.023,0.021,0.025,,0.022
sFC,0.023,0.022,0.007,0.006,0.006,,,0.010,0.006,0.014,,0.012
