,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,0.000,0.967,0.947,0.902,0.225,0.943,-0.029,0.565
SVWP,,-0.000,0.968,0.945,0.897,0.219,0.943,-0.030,0.563
DCC_joint,,0.000,0.926,0.864,0.816,0.489,0.918,0.113,0.590
DCC_bivariate_loop,,-0.000,0.932,0.879,0.839,0.545,0.921,0.153,0.610
SW_cross_validated,,0.000,0.944,0.928,0.849,0.284,0.946,0.029,0.569
SW_15,,-0.000,0.902,0.897,0.890,0.690,0.898,0.323,0.657
SW_30,,-0.000,0.950,0.937,0.904,0.669,0.927,0.192,0.654
SW_60,,0.000,0.974,0.916,0.555,0.199,0.931,-0.057,0.503
SW_120,,-0.000,0.949,-0.186,-0.432,0.285,0.915,-0.109,0.203
sFC,,,,,,,,,
