,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.040,0.025,0.040,0.041,0.040,,,0.024,0.036,0.016,,0.033
DCC_bivariate_loop,0.049,0.028,0.040,0.038,0.040,,,0.026,0.036,0.020,,0.035
SW_cross_validated,0.041,0.032,0.046,0.053,0.067,,,0.046,0.037,0.028,,0.044
SW_15,0.039,0.040,0.045,0.042,0.042,,,0.038,0.042,0.038,,0.041
SW_30,0.038,0.040,0.043,0.041,0.038,,,0.032,0.039,0.034,,0.038
SW_60,0.037,0.036,0.047,0.033,0.020,,,0.020,0.032,0.027,,0.031
SW_120,0.057,0.043,0.050,0.019,0.017,,,0.032,0.044,0.038,,0.038
sFC,0.044,0.028,0.010,0.008,0.007,,,0.013,0.010,0.019,,0.017
