,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.072,0.070,0.171,0.202,0.217,,,0.155,0.196,0.105,,0.148
DCC_bivariate_loop,0.079,0.074,0.126,0.150,0.165,,,0.144,0.145,0.108,,0.124
SW_cross_validated,0.164,0.173,0.187,0.215,0.237,,,0.220,0.210,0.183,,0.199
SW_15,0.279,0.290,0.289,0.290,0.287,,,0.287,0.299,0.286,,0.288
SW_30,0.212,0.220,0.218,0.222,0.232,,,0.227,0.233,0.222,,0.223
SW_60,0.170,0.178,0.180,0.217,0.285,,,0.219,0.203,0.191,,0.206
SW_120,0.168,0.176,0.209,0.325,0.334,,,0.219,0.219,0.188,,0.230
sFC,0.059,0.052,0.276,0.275,0.274,,,0.154,0.314,0.094,,0.187
