,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.045,0.033,0.048,0.044,0.063,,,0.024,0.027,0.022,,0.038
DCC_joint,0.043,0.034,0.039,0.041,0.041,,,0.026,0.035,0.020,,0.035
DCC_bivariate_loop,0.052,0.034,0.039,0.037,0.040,,,0.027,0.036,0.023,,0.036
SW_cross_validated,0.043,0.030,0.045,0.056,0.072,,,0.055,0.032,0.026,,0.045
SW_15,0.040,0.022,0.034,0.034,0.037,,,0.035,0.033,0.034,,0.034
SW_30,0.041,0.023,0.037,0.037,0.039,,,0.034,0.030,0.032,,0.034
SW_60,0.041,0.027,0.039,0.031,0.022,,,0.021,0.023,0.028,,0.029
SW_120,0.056,0.033,0.036,0.022,0.017,,,0.026,0.029,0.034,,0.032
sFC,0.044,0.028,0.010,0.008,0.007,,,0.013,0.009,0.019,,0.017
