,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,1.459,1.390,0.486,0.534,0.361,1.199,0.851,1.871
1,1.166,0.771,0.478,0.390,0.226,0.528,0.675,1.705
2,1.377,2.124,0.479,0.437,0.261,1.324,0.342,1.352
3,1.510,2.043,0.260,0.492,0.328,1.381,0.546,1.821
4,1.459,1.807,0.472,0.344,0.314,0.253,0.699,1.606
5,1.432,0.754,0.708,0.418,0.371,1.452,0.824,1.771
6,1.150,2.113,0.350,0.510,0.136,2.086,0.349,1.187
7,0.672,1.715,0.495,0.417,0.225,1.770,0.339,1.421
8,1.310,1.794,0.666,0.302,0.225,1.656,0.413,1.945
9,1.609,2.369,0.539,0.336,0.326,1.313,0.499,1.526
10,1.644,1.517,0.650,0.452,0.303,1.484,0.547,1.302
11,1.503,1.799,0.667,0.295,0.332,1.231,0.439,1.825
12,1.656,1.941,0.463,0.378,0.389,1.007,0.587,1.658
13,1.094,0.617,0.642,0.411,0.272,0.496,0.338,1.070
14,1.367,1.491,0.694,0.428,0.289,1.284,0.508,1.817
15,0.788,1.459,0.447,0.346,0.287,1.401,0.927,1.489
16,1.466,1.223,0.518,0.259,0.331,1.401,0.726,1.704
17,1.564,1.556,0.762,0.389,0.214,1.473,0.640,1.639
18,1.344,1.798,0.575,0.382,0.213,1.267,0.591,1.101
19,1.248,2.142,0.367,0.220,0.151,1.502,0.722,1.759
20,1.126,0.755,0.518,0.360,0.283,0.834,0.927,1.236
21,1.510,0.856,0.383,0.311,0.227,1.419,0.525,1.379
22,1.388,1.662,0.489,0.344,0.356,0.519,0.430,1.092
23,0.903,1.837,0.598,0.433,0.214,0.510,0.819,0.533
24,1.391,1.349,0.712,0.422,1.443,1.448,0.563,1.387
25,1.237,1.187,0.563,0.303,0.350,0.407,0.304,1.638
26,0.684,1.558,0.388,0.341,0.228,1.108,0.704,2.179
27,1.583,1.967,0.614,0.457,0.339,0.643,0.720,1.739
28,1.699,2.392,0.456,0.291,0.360,1.521,0.693,1.315
29,1.275,1.521,0.288,0.384,0.317,0.242,0.556,1.433
30,1.118,1.645,0.554,0.337,1.302,1.167,0.569,1.353
31,1.388,1.176,0.512,0.395,0.324,1.967,0.332,1.598
32,1.041,1.584,0.652,0.213,0.197,1.123,0.543,1.025
33,1.516,1.959,0.515,0.192,0.241,0.279,0.681,1.510
34,1.288,0.812,0.513,0.235,0.375,1.173,0.487,1.796
35,1.164,1.582,0.652,0.358,0.373,0.520,0.682,1.555
36,1.039,1.667,0.475,0.331,0.166,1.405,0.520,1.708
37,1.407,1.847,0.671,0.393,1.280,0.122,0.775,0.953
38,1.227,0.911,0.603,0.364,0.228,0.650,0.611,1.832
39,1.507,0.974,0.409,0.211,0.208,1.002,0.210,1.529
40,1.223,1.707,0.444,0.377,0.319,0.198,0.533,1.094
41,0.958,1.566,0.679,0.394,0.196,1.103,0.517,2.131
42,1.287,1.654,0.582,0.394,0.275,1.465,0.856,1.272
43,1.570,1.034,0.459,0.585,0.181,1.394,0.281,1.631
44,1.576,2.281,0.433,0.298,0.288,0.665,0.221,1.687
45,1.404,0.991,0.503,0.343,0.393,1.683,1.126,0.492
46,1.235,1.755,0.683,0.184,0.277,0.566,0.580,0.549
47,1.303,1.255,0.349,0.373,0.340,0.821,0.504,1.144
48,0.876,2.431,0.412,0.288,0.250,1.301,0.671,1.581
49,1.545,2.193,0.453,0.188,0.233,1.204,0.648,1.969
50,1.078,1.129,0.496,0.369,0.368,1.678,0.609,1.609
51,1.635,1.142,0.558,0.532,0.204,1.658,0.302,1.227
52,1.495,1.462,0.518,0.434,0.305,0.513,0.839,1.330
53,1.131,2.105,0.575,0.596,0.338,1.145,0.431,1.797
54,1.444,2.004,0.496,0.279,0.326,1.298,0.477,1.642
55,1.534,2.010,0.589,0.532,0.313,0.884,0.632,1.434
56,1.438,1.680,0.506,0.347,0.219,0.365,0.722,1.728
57,1.193,1.732,0.461,0.375,0.232,1.556,0.814,1.138
58,1.015,1.972,0.332,0.320,0.249,1.024,0.598,0.860
59,0.595,2.313,0.560,0.335,0.171,1.089,1.051,1.265
60,1.457,2.217,0.447,0.298,0.340,1.445,0.691,0.748
61,1.299,0.749,0.524,0.312,0.231,0.550,0.878,1.615
62,1.346,1.918,0.535,0.485,0.294,1.602,0.427,1.618
63,1.390,0.371,0.208,0.297,0.131,0.476,0.454,1.031
64,1.521,1.598,0.425,0.398,0.265,0.858,0.575,1.737
65,1.566,0.687,0.755,0.239,0.329,0.446,0.795,1.054
66,1.464,1.751,0.451,0.396,0.296,1.050,0.692,1.469
67,1.314,1.396,0.680,0.355,0.212,1.017,0.565,1.487
68,1.337,1.069,0.578,0.182,0.315,1.706,0.674,2.085
69,1.430,1.105,0.512,0.270,0.347,0.631,0.815,1.792
70,1.204,1.903,0.649,0.279,0.188,0.940,0.810,1.657
71,1.310,0.559,0.628,0.318,0.257,0.412,1.017,1.698
