,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.079,0.097,0.191,0.228,0.271,,,0.266,0.207,0.164,,0.188
DCC_joint,0.072,0.063,0.175,0.215,0.240,,,0.215,0.203,0.146,,0.166
DCC_bivariate_loop,0.079,0.067,0.179,0.219,0.243,,,0.218,0.207,0.149,,0.170
SW_cross_validated,0.164,0.192,0.199,0.232,0.257,,,0.261,0.239,0.217,,0.220
SW_15,0.279,0.312,0.302,0.304,0.301,,,0.299,0.315,0.299,,0.301
SW_30,0.212,0.236,0.228,0.235,0.253,,,0.250,0.250,0.243,,0.238
SW_60,0.170,0.191,0.192,0.248,0.346,,,0.289,0.226,0.224,,0.236
SW_120,0.168,0.190,0.237,0.403,0.414,,,0.286,0.254,0.222,,0.272
sFC,0.059,0.037,0.355,0.355,0.354,,,0.251,0.406,0.141,,0.245
