,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition
0,1.841,0.966,0.419,0.165,0.131,0.437,0.481,1.475
1,0.872,0.740,0.324,0.286,0.152,1.050,0.572,2.173
2,1.515,2.270,0.343,0.218,0.223,1.172,0.416,1.534
3,1.623,2.433,0.308,0.169,0.124,0.953,0.790,1.847
4,1.736,2.470,0.419,0.192,0.108,0.246,0.372,1.435
5,1.215,0.892,0.433,0.289,0.137,1.248,0.749,1.916
6,1.009,1.647,0.302,0.254,0.137,0.123,0.751,1.526
7,0.694,1.223,0.458,0.195,0.183,1.311,0.269,0.527
8,1.106,1.222,0.334,0.184,0.125,0.590,0.701,1.629
9,1.580,2.453,0.369,0.220,0.161,2.021,0.607,1.707
10,1.811,2.511,0.369,0.264,0.134,0.502,0.416,1.794
11,1.440,1.444,0.328,0.152,0.098,1.208,0.383,1.626
12,1.473,0.997,0.299,0.169,0.116,1.251,0.320,2.036
13,1.657,2.581,0.436,0.212,0.121,1.511,0.409,0.746
14,1.811,1.890,0.346,0.180,0.154,0.418,0.426,1.540
15,1.289,1.580,0.366,0.273,0.100,1.026,0.404,2.282
16,1.406,2.007,0.331,0.153,0.163,0.725,0.380,1.671
17,1.881,1.752,0.354,0.181,0.186,0.862,0.588,1.927
18,1.367,1.970,0.366,0.362,0.239,0.426,0.264,2.039
19,1.237,2.211,0.488,0.188,0.332,1.894,0.218,1.596
20,1.037,1.568,0.314,0.192,0.310,0.881,0.513,2.116
21,1.388,2.164,0.262,0.187,0.120,1.279,0.414,1.865
22,1.850,1.506,0.486,0.209,0.118,1.707,0.355,1.704
23,0.856,2.175,0.408,0.222,0.152,1.350,0.524,1.517
24,1.234,1.330,0.422,0.255,0.116,0.166,0.381,1.747
25,0.768,0.784,0.339,0.257,0.108,0.809,0.451,1.731
26,1.409,0.801,0.370,0.151,0.106,0.285,0.395,2.200
27,1.209,1.847,0.517,0.186,0.125,0.426,0.367,2.014
28,1.616,0.458,0.300,0.191,0.109,1.432,0.267,2.424
29,1.147,0.840,0.323,0.162,0.160,0.147,0.359,1.019
30,1.065,1.027,0.454,0.167,0.135,0.837,0.527,2.069
31,0.858,1.901,0.301,0.171,0.190,1.986,0.296,1.460
32,0.483,1.701,0.322,0.161,0.149,1.228,0.259,1.621
33,1.358,2.335,0.347,0.234,0.183,1.616,0.574,2.110
34,0.970,0.745,0.603,0.226,0.176,0.422,0.613,1.722
35,1.078,0.541,0.412,0.184,0.132,0.739,0.340,1.305
36,1.355,1.098,0.254,0.159,0.157,1.051,0.703,1.552
37,1.417,0.985,0.258,0.251,1.599,0.105,0.642,0.289
38,1.030,1.543,0.316,0.182,0.230,0.163,0.297,1.632
39,1.706,2.212,0.411,0.251,0.159,1.185,0.722,1.132
40,1.180,2.117,0.366,0.178,0.115,1.213,0.388,1.153
41,1.025,1.030,0.476,0.228,0.122,1.361,0.463,1.413
42,1.305,0.859,0.307,0.252,0.151,1.241,0.714,1.851
43,2.075,1.581,0.442,0.177,0.177,1.832,0.547,1.488
44,1.282,2.570,0.596,0.197,0.116,0.151,0.299,2.004
45,1.424,1.256,0.457,0.255,0.138,1.361,0.701,1.097
46,1.517,0.832,0.440,0.149,0.123,1.203,0.606,1.059
47,1.407,1.144,0.343,0.234,0.110,0.984,0.257,1.632
48,0.567,1.576,0.419,0.262,0.185,0.303,0.493,1.604
49,1.446,2.556,0.377,0.121,0.129,0.144,0.787,1.598
50,1.033,1.017,0.402,0.127,0.153,0.317,0.454,1.213
51,1.479,2.202,0.329,0.160,0.097,0.289,0.384,0.762
52,1.031,2.116,0.299,0.192,0.173,0.665,0.717,2.002
53,1.636,2.276,0.431,0.259,0.177,0.137,0.220,1.166
54,2.182,2.236,0.514,0.176,1.157,1.113,0.605,1.935
55,1.892,1.349,0.399,0.262,1.043,0.183,0.716,1.265
56,2.124,1.851,0.496,0.216,0.135,0.351,0.554,1.694
57,0.957,0.405,0.367,0.268,0.158,0.680,0.809,1.324
58,1.098,0.697,0.452,0.157,0.141,0.415,0.678,0.988
59,0.990,2.019,0.351,0.154,0.191,0.125,0.543,1.582
60,1.748,1.137,0.317,0.261,0.120,1.279,0.866,1.581
61,1.028,1.260,0.251,0.207,0.129,0.168,0.754,1.497
