,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.034,0.036,0.030,0.040,,,0.021,0.033,0.020,,0.030
DCC_joint,0.019,0.019,0.021,0.020,0.018,,,0.014,0.021,0.011,,0.018
DCC_bivariate_loop,0.020,0.019,0.022,0.020,0.018,,,0.015,0.021,0.012,,0.018
SW_cross_validated,0.018,0.028,0.029,0.030,0.028,,,0.025,0.031,0.021,,0.026
SW_15,0.015,0.032,0.027,0.026,0.025,,,0.022,0.034,0.021,,0.025
SW_30,0.015,0.030,0.024,0.025,0.024,,,0.019,0.030,0.019,,0.023
SW_60,0.014,0.025,0.024,0.021,0.015,,,0.013,0.029,0.017,,0.020
SW_120,0.022,0.032,0.028,0.015,0.012,,,0.021,0.032,0.024,,0.023
sFC,0.023,0.014,0.008,0.007,0.006,,,0.007,0.007,0.011,,0.010
