medial_visual,occipital_pole,lateral_visual,default_mode,cerebellum,sensorimotor,auditory,executive_control,frontoparietal_right,frontoparietal_left
0.205783306893769,0.266100802329544,0.618481012658228,0.0465116279069767,0.0332499106185198,0.0527014605249719,0.010325161499581,0.0392933227173936,0.116170892869922,0.0915523888536431
0.0297394449530019,0.0152653200126401,0.0529385003515447,0.342506704180771,0.0173023431238508,0.021198617300404,0.0446625231708647,0.102839378987511,0.163768486972961,0.315329052969502
0.415810181467802,0.266603127843001,0.215453779151447,0.109934482690366,0.0272713861198339,0.134592546513601,0.0687079910380881,0.0486778447875936,0.113034440741139,0.12882060254798
0.117634385435743,0.557543700152899,0.26634413393596,0.0150591861035231,0.00251157679930932,0.0956823885206872,0.0784367975099429,0.0116179113808643,0.0381807973048849,0.0285106382978723
0.0957843940635528,0.0310312298297006,0.130944611692385,0.0755875170822412,0.0212678936605317,0.326216474080356,0.309435974932219,0.0313188427081803,0.110131805616762,0.0472000489965907
0.0352026697053557,0.0278718072712885,0.126344544988902,0.0716965235009729,0.0401479359514291,0.0839681539607079,0.0766779525990838,0.0822666041150057,0.27852142053905,0.476538426054064
0.0184271619268717,0.00991989814863933,0.0373544667304824,0.15450460089878,0.0146210080800308,0.0364248065492879,0.0519119241831298,0.160487165651738,0.565459845380423,0.0736159300045256
0.0465126580876653,0.000626521120990867,0.0935999014737879,0.0980939503641994,0.00238418026272732,0.0985490471663015,0.227977929243752,0.110578390705525,0.272199299947203,0.261075697211155
0.100859023331719,0.0541536335898371,0.162278779706725,0.302412070980767,0.0316140390306027,0.0641421161474048,0.0708817991447727,0.1180374353328,0.261760943142621,0.192297572847464
0.0123928236904676,0.00958222549819675,0.0376056275715613,0.153417410608852,0.0227145403615992,0.0114998885669713,0.1894480481465,0.0891963892136382,0.215550003149474,0.227167580534613
0.0648376890738092,0.0431447253256449,0.137677351550184,8.41113634452014e-05,0.225055539457162,0,0.000579974315423174,0.0142206884241216,0.0047483054054984,0.0312188877826767
0.0214020284429046,0.0280016178712548,0.182317073170732,0.00317843051293292,0.0359023456199138,0.304376793767938,0.0628374528583444,0.00871986359025275,0.158253751705321,0.18172469516674
0.0118984819178243,0.00426621160409556,0.0166618025523334,0.0739656014012117,0.0420721146276177,0.0231294338107348,0.0216551096964874,0.262191572253818,0.170522536896689,0.303831720828121
0.166294444334644,0.0179777195560952,0.161577373259979,0.305251257260926,0.0744764669292971,0.113839866245588,0.168747459497126,0.16242210118259,0.242069733330977,0.226674813110983
0.124027690371303,0.119736147757256,0.187402883677231,0.152379764206849,0.0795765603310717,0.15209898044338,0.191142133240598,0.211423491499055,0.261118913857678,0.191500692299499
