,0,1,2,3
147737,0.263,0.281,0.274,0.308
148133,0.299,0.288,0.223,0.272
148335,0.401,0.435,0.340,0.292
148436,0.309,0.318,0.275,0.295
148840,0.397,0.298,0.254,0.310
148941,0.307,0.327,0.272,0.345
149236,0.288,0.300,0.221,0.304
149741,0.346,0.299,0.287,0.356
149842,0.315,0.267,0.283,0.305
150625,0.280,0.261,0.254,0.221
150726,0.290,0.307,0.237,0.234
150928,0.314,0.260,0.254,0.259
151324,0.281,0.296,0.238,0.264
151425,0.430,0.399,0.325,0.374
151728,0.473,0.308,0.281,0.453
151829,0.262,0.288,0.287,0.271
151930,0.256,0.253,0.249,0.226
152225,0.267,0.313,0.283,0.371
152427,0.317,0.312,0.285,0.316
152831,0.352,0.361,0.290,0.268
153025,0.310,0.273,0.337,0.330
153126,0.335,0.325,0.341,0.422
153227,0.320,0.323,0.435,0.377
153631,0.299,0.287,0.310,0.229
153732,0.337,0.417,0.293,0.452
153833,0.321,0.376,0.416,0.285
153934,0.295,0.351,0.285,0.319
154229,0.286,0.281,0.285,0.292
154330,0.344,0.373,0.422,0.435
154532,0.249,0.298,0.304,0.256
154734,0.341,0.278,0.234,0.343
154835,0.307,0.418,0.344,0.378
154936,0.248,0.246,0.231,0.256
155635,0.292,0.327,0.271,0.254
155938,0.275,0.265,0.239,0.271
156031,0.295,0.290,0.241,0.284
156435,0.256,0.262,0.327,0.301
156536,0.299,0.255,0.253,0.257
157437,0.262,0.261,0.281,0.266
157942,0.268,0.270,0.242,0.247
158136,0.337,0.348,0.422,0.277
158338,0.263,0.280,0.286,0.237
158843,0.251,0.272,0.278,0.256
159138,0.282,0.323,0.287,0.293
159340,0.300,0.286,0.294,0.319
159441,0.301,0.303,0.285,0.341
159744,0.312,0.347,0.280,0.301
160729,0.324,0.296,0.320,0.292
160830,0.431,0.347,0.286,0.261
161630,0.297,0.277,0.290,0.248
161832,0.323,0.308,0.459,0.389
162026,0.316,0.281,0.231,0.249
162228,0.258,0.306,0.243,0.286
162733,0.351,0.314,0.296,0.348
162935,0.320,0.307,0.239,0.258
163129,0.394,0.363,0.278,0.286
163331,0.343,0.314,0.381,0.398
163836,0.399,0.431,0.638,0.476
164030,0.392,0.316,0.342,0.366
164131,0.267,0.256,0.298,0.258
