,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,-,1.,1.,0.0085,0.0000,0.0002,0.0127,0.0077,1.
SVWP,-0.3763,-,1.,0.0244,0.0000,0.0005,0.0359,0.0222,0.5489
DCC_joint,0.0709,0.4517,-,0.0058,0.0000,0.0001,0.0087,0.0051,1.
SW_cross_validated,-4.5714,-4.0964,-4.7497,-,0.0000,0.3947,1.,1.,0.0000
SW_15,-10.8944,-10.4228,-11.1866,-9.565,-,0.0004,0.0000,0.0000,0.0000
SW_30,-6.3381,-5.8812,-6.5368,-2.8357,6.0344,-,0.3511,0.3234,0.0000
SW_60,-4.3894,-3.9225,-4.5596,0.1575,9.3802,2.89,-,1.,0.0000
SW_120,-4.6199,-4.1384,-4.8028,0.0194,9.8651,2.928,-0.1435,-,0.0000
sFC,2.1781,2.6813,2.1307,12.0535,22.6628,13.8914,11.2317,12.591,-
