,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,,-0.31,-3.67,-1.79,2.32,-1.28,2.38,2.59,0.43
SVWP,-0.31,,-5.51,-2.29,3.82,-1.42,4.23,4.71,1.37
DCC_joint,-3.67,-5.51,,4.04,10.47,4.02,13.08,14.97,14.07
SW_cross_validated,-1.79,-2.29,4.04,,6.81,0.73,8.09,9.11,5.86
SW_15,2.32,3.82,10.47,6.81,,-5.40,-0.12,0.13,-3.92
SW_30,-1.28,-1.42,4.02,0.73,-5.40,,6.11,6.73,3.51
SW_60,2.38,4.23,13.08,8.09,-0.12,6.11,,0.31,-5.07
SW_120,2.59,4.71,14.97,9.11,0.13,6.73,0.31,,-6.35
sFC,0.43,1.37,14.07,5.86,-3.92,3.51,-5.07,-6.35,
