,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,-,1.,1.,0.2029,0.0000,0.2059,1.,0.0014,0.0000
SVWP,-0.1335,-,1.,0.1877,0.0000,0.1776,1.,0.0007,0.0000
DCC_joint,1.3218,1.632,-,0.0045,0.0000,0.0016,0.0366,0.0000,0.0000
SW_cross_validated,-3.1419,-3.1776,-4.8634,-,0.1406,1.,1.,1.,0.0000
SW_15,-7.4858,-7.8806,-11.2871,-3.3087,-,0.0149,0.0000,0.1409,0.0000
SW_30,-3.1354,-3.2027,-5.3576,0.3988,4.3177,-,1.,1.,0.0000
SW_60,-1.5369,-1.512,-3.914,2.2192,7.3154,2.1152,-,0.0041,0.0000
SW_120,-5.4104,-5.7503,-9.6934,-1.0386,3.3077,-1.7887,-4.9049,-,0.0000
sFC,-18.9096,-21.2184,-37.7778,-11.5709,-10.5567,-15.3179,-24.7805,-19.8862,-
