,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.990,0.984,0.977,0.832,0.970,-0.015,0.790
SVWP,,,0.991,0.984,0.979,0.775,0.969,-0.020,0.780
DCC_joint,,,0.966,0.947,0.929,0.743,,0.374,0.792
SW_cross_validated,,,0.986,0.983,0.976,0.846,0.976,0.285,0.842
SW_15,,,0.917,0.913,0.913,0.766,0.918,0.462,0.815
SW_30,,,0.960,0.957,0.952,0.817,0.950,0.476,0.852
SW_60,,,0.982,0.975,0.959,0.788,0.956,0.286,0.824
SW_120,,,0.990,0.953,0.658,0.264,0.946,-0.078,0.622
sFC,,,,,,,,,
