,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,0.061,0.056,0.423,0.168,0.197,,,0.213,0.511,0.155,,0.223
SVWP,0.061,0.057,0.159,0.176,0.199,,,0.219,0.294,0.154,,0.165
DCC_joint,0.045,0.032,0.135,0.166,0.191,,,0.190,0.175,0.135,,0.134
SW_cross_validated,0.156,0.184,0.238,0.253,0.276,,,0.238,0.266,0.214,,0.228
SW_15,0.312,0.342,0.331,0.337,0.336,,,0.333,0.353,0.326,,0.334
SW_30,0.224,0.242,0.238,0.238,0.246,,,0.252,0.264,0.242,,0.243
SW_60,0.168,0.182,0.179,0.191,0.236,,,0.225,0.225,0.206,,0.202
SW_120,0.149,0.166,0.173,0.283,0.450,,,0.298,0.240,0.214,,0.246
sFC,0.029,0.010,0.502,0.502,0.502,,,0.274,0.578,0.141,,0.317
