,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,1.041,2.006,0.378,0.221,0.216,0.179,0.179,0.174,0.339,2.017,1.273
1,1.317,2.338,0.347,0.240,0.146,0.179,0.179,0.194,0.302,1.885,1.273
2,1.560,2.278,0.327,0.185,0.211,0.179,0.179,0.204,0.322,1.556,1.273
3,1.427,1.652,0.384,0.213,0.171,0.179,0.179,0.161,0.307,1.522,1.273
4,1.443,2.165,0.329,0.194,0.201,0.179,0.179,0.157,0.313,1.640,1.273
5,1.145,2.458,0.473,0.197,0.162,0.179,0.179,0.211,0.322,1.581,1.273
6,1.613,1.581,0.345,0.191,0.200,0.179,0.179,0.221,0.319,2.125,1.273
7,1.374,0.901,0.488,0.258,0.154,0.179,0.179,0.244,0.316,1.677,1.273
8,1.587,2.260,0.403,0.242,0.131,0.179,0.179,0.135,0.355,1.327,1.273
9,1.643,1.726,0.426,0.239,0.155,0.179,0.179,0.299,0.334,1.517,1.273
10,1.678,1.706,0.442,0.274,0.166,0.179,0.179,0.269,0.345,1.944,1.273
11,1.336,2.217,0.336,0.228,0.158,0.179,0.179,0.169,0.316,1.865,1.273
12,1.333,2.183,0.356,0.228,0.158,0.179,0.179,0.353,0.307,1.292,1.273
13,1.612,2.025,0.665,0.191,0.183,0.179,0.179,0.184,0.309,1.684,1.273
14,1.571,2.397,0.414,0.198,0.236,0.179,0.179,0.221,0.322,1.237,1.273
15,1.694,1.900,0.375,0.247,0.137,0.179,0.179,0.197,0.328,1.554,1.273
16,1.260,2.392,0.667,0.217,0.239,0.179,0.179,0.154,0.350,1.709,1.273
17,1.591,2.501,0.620,0.215,0.144,0.179,0.179,0.260,0.301,1.424,1.273
18,1.572,1.544,0.429,0.250,0.151,0.179,0.179,0.191,0.286,1.542,1.273
19,1.160,2.599,0.397,0.277,0.187,0.179,0.179,0.884,0.318,1.939,1.273
20,1.730,2.446,0.401,0.201,0.171,0.179,0.179,0.193,0.330,1.923,1.273
21,1.685,2.408,0.726,0.252,0.152,0.179,0.179,0.193,0.292,1.609,1.273
22,1.376,2.131,0.386,0.206,0.159,0.179,0.179,0.155,0.322,1.782,1.273
23,1.442,2.160,0.413,0.381,0.173,0.179,0.179,0.151,0.320,1.001,1.273
24,1.552,2.382,0.377,0.309,0.172,0.179,0.179,0.239,0.303,1.864,1.273
25,1.155,2.207,0.473,0.207,0.228,0.179,0.179,0.185,0.295,1.817,1.273
26,1.285,1.857,0.322,0.210,0.170,0.179,0.179,0.186,0.351,1.536,1.273
27,1.419,2.244,0.696,0.250,0.184,0.179,0.179,0.348,0.303,2.022,1.273
28,1.070,2.186,0.698,0.203,0.132,0.179,0.179,0.209,0.317,0.387,1.273
29,1.218,2.191,0.488,0.232,0.125,0.179,0.179,0.234,0.314,1.681,1.273
30,1.397,2.532,0.444,0.203,0.144,0.179,0.179,0.207,0.339,1.853,1.273
31,1.651,2.558,0.394,0.241,0.177,0.179,0.179,0.203,0.290,1.845,1.273
32,1.476,1.882,0.398,0.181,0.179,0.179,0.179,0.142,0.320,1.927,1.273
33,1.496,2.591,0.470,0.251,0.182,0.179,0.179,0.195,0.311,1.867,1.273
34,1.811,2.124,0.361,0.213,0.225,0.179,0.179,0.200,0.272,1.657,1.273
35,1.181,2.402,0.321,0.223,0.170,0.179,0.179,0.197,0.328,1.818,1.273
36,1.475,2.022,0.401,0.208,0.227,0.179,0.179,0.200,0.331,1.641,1.273
37,1.255,1.243,0.408,0.214,0.145,0.179,0.179,0.214,0.320,1.999,1.273
38,1.691,1.270,0.381,0.200,0.153,0.179,0.179,0.273,0.301,1.815,1.273
39,1.538,1.741,0.653,0.219,0.136,0.179,0.179,0.248,0.325,1.444,1.273
40,1.091,2.471,0.690,0.215,0.124,0.179,0.179,0.296,0.216,1.673,1.273
41,1.281,2.459,0.630,0.178,0.151,0.179,0.179,0.191,0.239,1.750,1.273
42,1.523,2.365,0.313,0.209,0.182,0.179,0.179,0.186,0.335,1.830,1.273
43,1.022,2.268,0.623,0.126,0.140,0.179,0.179,0.164,0.293,1.736,1.273
44,1.762,2.183,0.584,0.210,0.152,0.179,0.179,0.177,0.314,1.885,1.273
45,1.249,1.591,0.556,0.195,0.159,0.179,0.179,0.167,0.332,2.169,1.273
46,1.271,2.284,0.432,0.207,0.216,0.179,0.179,0.190,0.361,0.936,1.273
47,1.716,2.073,0.470,0.181,0.181,0.179,0.179,0.159,0.313,1.773,1.273
48,1.274,2.212,0.621,0.277,0.174,0.179,0.179,0.185,0.339,1.793,1.273
49,0.822,2.208,0.502,0.173,0.146,0.179,0.179,0.189,0.330,0.677,1.273
50,1.310,1.532,0.339,0.297,0.179,0.179,0.179,0.343,0.301,1.726,1.273
51,1.337,1.860,0.469,0.218,0.188,0.179,0.179,0.303,0.321,1.623,1.273
52,1.401,1.314,0.624,0.224,0.143,0.179,0.179,0.363,0.318,1.976,1.273
53,1.530,2.179,0.606,0.189,0.160,0.179,0.179,1.055,0.343,1.802,1.273
54,0.811,1.857,0.674,0.188,0.158,0.179,0.179,0.280,0.366,1.411,1.273
55,1.517,1.190,0.315,0.226,0.186,0.179,0.179,0.171,0.383,0.594,1.273
56,1.745,2.138,0.334,0.205,0.149,0.179,0.179,0.196,0.283,0.925,1.273
57,1.376,1.987,0.346,0.228,0.229,0.179,0.179,1.367,0.307,1.780,1.273
58,1.621,2.074,0.418,0.220,0.158,0.179,0.179,0.302,0.326,1.658,1.273
59,1.511,1.984,0.430,0.221,0.175,0.179,0.179,0.185,0.307,2.034,1.273
60,1.185,2.432,0.360,0.174,0.169,0.179,0.179,0.149,0.310,1.554,1.273
61,1.712,2.207,0.393,0.190,0.169,0.179,0.179,0.222,0.336,1.111,1.273
62,1.025,2.243,0.513,0.362,0.173,0.179,0.179,0.161,0.296,1.937,1.273
63,1.334,2.478,0.696,0.198,0.132,0.179,0.179,0.207,0.286,1.580,1.273
64,1.290,1.997,0.477,0.254,0.135,0.179,0.179,0.178,0.359,0.622,1.273
65,1.543,1.804,0.312,0.204,0.208,0.179,0.179,0.189,0.312,1.973,1.273
66,0.829,1.972,0.329,0.261,0.191,0.179,0.179,0.172,0.388,1.529,1.273
67,1.270,1.383,0.453,0.189,0.178,0.179,0.179,0.592,0.313,1.125,1.273
68,1.334,1.766,0.434,0.200,0.191,0.179,0.179,1.244,0.327,1.945,1.273
69,1.356,1.842,0.498,0.367,0.171,0.179,0.179,0.160,0.328,1.547,1.273
70,1.049,2.269,0.690,0.208,0.207,0.179,0.179,0.191,0.282,0.917,1.273
71,1.529,2.371,0.633,0.337,0.158,0.179,0.179,0.190,0.273,1.587,1.273
72,1.491,2.408,0.422,0.230,0.175,0.179,0.179,0.249,0.316,1.911,1.273
73,1.051,1.934,0.383,0.234,0.200,0.179,0.179,1.316,0.239,1.747,1.273
74,1.220,1.984,0.340,0.170,0.164,0.179,0.179,0.194,0.284,1.024,1.273
75,1.578,2.259,0.651,0.303,0.172,0.179,0.179,1.086,0.253,1.784,1.273
76,0.835,2.731,0.364,0.220,0.201,0.179,0.179,0.200,0.285,1.784,1.273
77,0.424,1.947,0.421,0.204,0.126,0.179,0.179,0.363,0.305,2.045,1.273
78,1.733,2.327,0.362,0.186,0.138,0.179,0.179,0.149,0.338,1.533,1.273
79,1.484,1.612,0.618,0.225,0.128,0.179,0.179,0.166,0.328,1.985,1.273
80,1.488,2.519,0.485,0.206,0.144,0.179,0.179,1.134,0.297,1.335,1.273
81,1.687,1.562,0.398,0.231,0.165,0.179,0.179,0.203,0.314,1.724,1.273
82,1.310,2.141,0.479,0.242,0.189,0.179,0.179,0.180,0.333,1.800,1.273
83,1.652,1.298,0.383,0.229,0.200,0.179,0.179,0.192,0.356,1.643,1.273
84,1.567,2.235,0.381,0.275,0.165,0.179,0.179,0.139,0.286,1.429,1.273
85,1.197,1.875,0.375,0.243,0.186,0.179,0.179,0.186,0.349,1.766,1.273
86,1.411,0.941,0.610,0.224,0.152,0.179,0.179,0.165,0.347,1.945,1.273
87,1.756,1.868,0.422,0.297,0.177,0.179,0.179,0.218,0.336,1.948,1.273
88,1.451,2.211,0.650,0.265,0.198,0.179,0.179,1.161,0.313,1.883,1.273
89,1.440,1.928,0.655,0.230,0.215,0.179,0.179,0.205,0.281,1.921,1.273
90,1.156,1.988,0.364,0.193,0.121,0.179,0.179,0.141,0.344,1.878,1.273
91,1.526,1.930,0.408,0.196,0.229,0.179,0.179,0.216,0.301,1.516,1.273
92,1.436,2.295,0.416,0.180,0.143,0.179,0.179,0.191,0.299,1.830,1.273
93,1.419,1.305,0.472,0.218,0.192,0.179,0.179,0.158,0.308,1.735,1.273
94,1.544,1.732,0.471,0.219,0.135,0.179,0.179,0.167,0.318,1.626,1.273
95,1.560,2.208,0.371,0.289,0.176,0.179,0.179,0.159,0.304,1.915,1.273
96,1.388,2.394,0.436,0.300,0.169,0.179,0.179,0.167,0.349,1.686,1.273
97,1.466,2.265,0.426,0.293,0.135,0.179,0.179,0.187,0.308,1.867,1.273
98,1.540,1.710,0.378,0.235,0.144,0.179,0.179,0.148,0.251,0.521,1.273
99,1.325,1.339,0.612,0.204,0.153,0.179,0.179,0.158,0.239,1.270,1.273
100,1.198,2.250,0.511,0.198,0.144,0.179,0.179,0.215,0.259,1.377,1.273
101,1.591,2.119,0.384,0.207,0.201,0.179,0.179,0.204,0.293,1.511,1.273
102,1.038,1.970,0.366,0.372,0.142,0.179,0.179,0.211,0.314,1.425,1.273
