,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.147,0.196,0.270,0.308,0.338,,,0.244,0.277,0.199,,0.247
DCC_joint,0.150,0.154,0.245,0.269,0.284,,,0.204,0.266,0.171,,0.218
DCC_bivariate_loop,0.153,0.155,0.248,0.271,0.286,,,0.207,0.270,0.174,,0.220
SW_cross_validated,0.204,0.211,0.261,0.291,0.328,,,0.257,0.284,0.223,,0.257
SW_15,0.314,0.324,0.345,0.346,0.349,,,0.322,0.354,0.322,,0.334
SW_30,0.254,0.261,0.287,0.295,0.312,,,0.268,0.303,0.264,,0.281
SW_60,0.210,0.217,0.255,0.290,0.346,,,0.257,0.277,0.230,,0.260
SW_120,0.194,0.204,0.273,0.365,0.372,,,0.241,0.287,0.213,,0.269
sFC,0.080,0.072,0.319,0.316,0.317,,,0.175,0.357,0.113,,0.219
