,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.050,0.038,,,,,,,,,,0.044
DCC_joint,0.022,0.027,0.023,0.022,0.023,,,0.018,0.025,0.025,,0.023
DCC_bivariate_loop,0.025,0.027,0.023,0.022,0.023,,,0.019,0.025,0.025,,0.024
SW_cross_validated,0.032,0.032,0.032,0.033,0.036,,,0.022,0.034,0.028,,0.031
SW_15,0.018,0.021,0.021,0.024,0.023,,,0.020,0.020,0.020,,0.021
SW_30,0.021,0.023,0.025,0.027,0.026,,,0.021,0.026,0.022,,0.024
SW_60,0.024,0.023,0.033,0.029,0.020,,,0.018,0.031,0.022,,0.025
SW_120,0.035,0.031,0.036,0.024,0.022,,,0.023,0.039,0.026,,0.029
sFC,0.035,0.032,0.020,0.017,0.018,,,0.016,0.017,0.024,,0.023
