,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.080,0.130,,,,,,,,,,0.105
DCC_joint,0.057,0.163,0.224,0.250,0.265,,,0.164,0.252,0.126,,0.188
DCC_bivariate_loop,0.066,0.165,0.228,0.255,0.270,,,0.174,0.255,0.131,,0.193
SW_cross_validated,0.140,0.137,0.211,0.240,0.280,,,0.206,0.219,0.161,,0.199
SW_15,0.226,0.247,0.255,0.257,0.257,,,0.232,0.259,0.233,,0.246
SW_30,0.166,0.189,0.208,0.216,0.232,,,0.180,0.217,0.183,,0.199
SW_60,0.136,0.145,0.195,0.239,0.309,,,0.205,0.204,0.160,,0.199
SW_120,0.126,0.121,0.232,0.339,0.348,,,0.197,0.221,0.149,,0.217
sFC,0.080,0.071,0.319,0.316,0.317,,,0.174,0.357,0.113,,0.218
